name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Muenhen_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,HeatPump,basic,NWG,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,NWG,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,NWG,,0.15,0,,,,,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.25,0,0,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.25,0.45,0,100,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.45,0.6,0,200,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,1,0,0,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,1,3,0,500,,,,
Augsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,3,inf,0,1000,,,,
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,0,3,0,0
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,3,inf,0,500
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,0,3,0,0
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,3,inf,0,500
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,0,0,0,0
Augsburg_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,3,inf,0,500
Regensburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,150,,,,
Regensburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,15,100,0,,,,
Regensburg_Subsidy,2023,city,purchase,PV,basic,all,,,,15,inf,0,1500,,,,
Erlangen_Subsidy,2023,city,purchase,PV,basic,all,,,,0,1,0,0,,,,
Erlangen_Subsidy,2023,city,purchase,PV,basic,all,,,,1,30,150,0,,,,
Erlangen_Subsidy,2023,city,purchase,PV,basic,all,,,,30,100,75,4500,,,,
Erlangen_Subsidy,2023,city,purchase,PV,basic,all,,,,100,inf,0,12000,,,,
Erlangen_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,7,150,0,,,,
Erlangen_Subsidy,2023,city,purchase,Battery,basic,all,,,,7,inf,0,1050,,,,
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,0,14,70,0
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,14,inf,0,980
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,0,14,70,0
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,14,inf,0,980
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,0,14,70,0
Erlangen_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,14,inf,0,980
Erlangen_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,0.2,0,,,,,,,,
Erlangen_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,0,1000,,,,,,,,
Erlangen_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,0.2,0,,,,,,,,
Erlangen_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,0,7000,,,,,,,,
Wuerzburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,200,,,,
Wuerzburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,10,150,0,,,,
Wuerzburg_Subsidy,2023,city,purchase,PV,basic,all,,,,10,inf,0,1500,,,,
Schweinfurt_Subsidy,2023,city,purchase,PV,basic,all,,,,0,10,100,0,,,,
Schweinfurt_Subsidy,2023,city,purchase,PV,basic,all,,,,10,inf,0,1000,,,,
Schweinfurt_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,3,0,0,,,,
Schweinfurt_Subsidy,2023,city,purchase,Battery,basic,all,,,,3,7,100,0,,,,
Schweinfurt_Subsidy,2023,city,purchase,Battery,basic,all,,,,7,inf,0,700,,,,
Fuerth_Subsidy,2023,city,purchase,CHP,basic,all,,,,0,inf,0,1000,,,,
Fuerth_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,0,inf,50,0
Fuerth_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,0,inf,50,0
Fuerth_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,0,inf,50,0
Fuerth_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,100,,,,
Fuerth_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,30,50,0,,,,
Fuerth_Subsidy,2023,city,purchase,PV,basic,all,,,,30,inf,0,1500,,,,
Fuerth_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,inf,0,500,,,,
Fuerth_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,0,inf,0,1000,,,,
Fuerth_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,0,inf,0,1000,,,,
Fuerth_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,0,inf,0,1000,,,,
Coburg_Subsidy,2023,city,purchase,PV,basic,all,,0.45,0,,,,,,,,
Coburg_Subsidy,2023,city,purchase,PV,basic,all,,0,20000,,,,,,,,
Coburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,5,0,0,,,,
Coburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,5,30,75,500,,,,
Coburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,30,inf,0,2750,,,,
Weiden in der Oberpfalz_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,100,,,,
Weiden in der Oberpfalz_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,inf,0,0,,,,
Berlin_Subsidy,2023,city,purchase,Battery,basic,EFH;ZFH;MFH,,,,0,50,300,0,,,,
Berlin_Subsidy,2023,city,purchase,Battery,basic,EFH;ZFH;MFH,,,,50,inf,0,15000,,,,
Berlin_Subsidy,2023,city,purchase,Battery,basic,NWG,,,,0,50,300,0,,,,
Berlin_Subsidy,2023,city,purchase,Battery,basic,NWG,,,,50,inf,0,15000,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollector,basic,EFH;ZFH;MFH,,0.2,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollector,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,,0.2,0,,,,,,,,
